isWin,pr,oppName,oppRating,oppPr,matchLength
false,3.66,diamondg,1951.65,8.27,11
false,4.15,yekta,1332.41,16.4,7
true,1.96,jyri,1784.79,9.73,7
true,2.62,kimhenno,2241.22,8.81,11
false,4.06,jorghe,2251.67,5.97,7
true,1.47,bipolar,1842.45,8.25,5
false,4.17,zingster,1805.91,4.71,5
true,3.19,5D1816345,1878.9,3.43,5
false,2.62,CAS0,1653.22,11.31,5
false,4.39,bipolar,1845.02,8.28,5
false,2.5,kosmo,2403.36,7.13,5
true,0.31,ulvicangazi,1878.22,28.06,5
false,3.8,MissDaisy,1680.84,6.31,5
true,4.61,UNFORGIVEN,1912.37,10.86,11
true,2.91,OBGBG1,1993.7,8.97,5
false,3.4,Aref91777,2465.38,2.53,5
false,3.8,Hesam,1563.18,10.47,5
true,2.55,jyri,1766.48,6.04,5
false,4.59,ulvicangazi,1903.39,15.92,5
false,2.0,fresidue,2101.81,1.76,5
true,4.26,0202,1812.37,11.27,5
true,4.04,vahid zargaran,1835.08,11.04,5
true,2.26,mano87,1702.68,15.18,5
false,3.98,Sahlén,2449.12,4.08,5
true,2.02,DasWerl,2487.95,6.83,9
true,2.34,Moa,2124.43,6.32,5
false,3.46,y.s,2141.1,5.03,15
true,1.93,Sahlén,2422.96,4.01,7
false,5.16,alex21,2210.1,10.6,7
false,1.84,Hasu,1669.54,10.38,5
false,6.48,ozanozgur,2241.54,2.54,5
true,7.76,Burebista,1832.85,15.21,5
true,6.36,diamondg,1862.3,14.73,11
true,0.82,Jalil,1977.02,2.81,5
false,1.88,48maris,1754.09,2.72,5
false,5.12,ulvicangazi,1866.07,5.46,5
true,4.85,TheGrogfather,1994.77,7.41,21
false,3.3,jorghe,2175.9,3.63,7
true,4.17,kosmo,2378.16,5.58,9
false,4.55,tals,2079.41,2.3,5
true,3.27,RoyHobs,1741.08,4.77,7
true,3.28,milenium82,1856.3,6.84,7
true,7.35,miltoncr,1796.66,9.62,5
true,4.26,rotenfels,2118.92,4.75,5
true,2.5,Sahlén,2455.83,3.56,5
true,5.72,erimitis,2445.49,5.78,7
true,6.76,Marc,2553.12,4.01,7
true,3.93,rotenfels,2123.62,6.09,7
true,3.96,Sahlén,2475.18,2.89,13
false,6.84,Sahlén,2445.17,6.42,15
false,2.46,tigereye37,1684.21,5.61,7
false,5.28,Maestr0,2552.38,4.62,7
false,7.1,Kazaguruma,2298.9,4.4,7
true,1.92,killingDad,1708.53,11.2,5
false,2.88,Sima9,1844.4,3.73,3
false,2.72,KathrinBG,1786.65,6.97,7
true,1.73,Eris,1921.36,10.63,7
true,6.86,aahmet95,1738.96,13.25,7
true,3.1,be_galactic,1761.53,7.47,25
true,4.35,selcukarit,2145.96,4.28,5
true,2.5,Selbs,2021.23,10.12,7
false,3.1,kimhenno,2163.47,2.89,11
true,2.92,BvChelsea,1609.81,10.58,5
false,3.51,findagrind,2032.43,1.93,5
true,5.61,hanse,2270.44,7.56,5
false,1.57,tiho,1978.42,2.45,5
false,1.05,milenium82,2005.87,3.04,5
true,6.01,xx484xx,2022.17,8.35,9
false,7.23,Sahlén,2382.75,6.49,7
false,5.51,y.s,2187.87,6.84,7
true,4.75,ocbhanf,1776.66,12.54,5
false,3.57,y.s,2180.73,2.5,5
true,3.95,mehdifoo,1425.6,81.18,5
true,4.37,cafecafe,1930.46,3.89,5
true,4.62,PolNEBA,1893.69,7.38,5
true,6.89,LeoR,1922.26,5.19,5
true,3.58,cardcheckertwo,1655.56,7.26,5
true,2.8,JB25,2022.0,4.76,5
false,4.95,07552324,1896.42,5.0,5
